symbol, description, value, units, type
L_s,Source inductance,3/25,H,Interface
R_s,Source resistance,875,Omega,Interface
C_s,Source capacitance,462962962962963/(5000000000000000000000000*pi**2),F,Interface
R_t,Source termination resistance for critical damping,18000*sqrt(2)*pi,Omega,Interface
Vi_pp,Maximum peak-peak input voltage,2143038610475213/20000000000000000,V,Interface
f_fp,Maximum full-power frequency,5000,Hz,Interface
C_L,Load capacitance,1/100000000000,F,Interface
V_ADC_high,Full-scale input voltage ADC,9/10,V,Interface
V_ADC_low,Zero-scale input voltage ADC,0,V,Interface
V_DD_max,Maximum supply voltage,13/10,V,Interface
V_DD_min,Minimum supply voltage,11/10,V,Interface
tau_i,Integration time constant,50459159092039/(1000000000000000000*pi),s,performance
f_min,-3dB high-pass cut-off frequency,600,Hz,performance
f_max,-3dB low-pass cut-off frequency,6000,Hz,performance
V_onoise,DIN A weighted output voltage noise,10617688884619767/1000000000000000000000,V,performance
DIN_A,Noise weighting function,18719114681919*f**4/(100000*sqrt((f**2 + 1159929/100)*(f**2 + 54449641/100))*(f**2 + 10609/25)*(f**2 + 148693636)),,performance
f_ref,Reference frequency,1000,Hz,test
P_max,Maximum power dissipation at maximum supply voltage,1/1000,W,Costs
T_min,Minimum operating temperature,0,Celsius,Environment
T_max,Maximum operating temperature,50,Celsius,Environment
V_ns,Weighted noise output noise contribution of Rs,9350166400767/6250000000000000000,V,Interface
C_i,Integrator capacitance,tau_i/R_f,F,design
R_b,Bias resistance,1/(2*pi*C_i*f_min),Omega,design
B_i1,Relative budget for the current through the feedback network,1/10,,design
R_f_min,Minimum value of R_f,27859501936177769/20000000000000,Omega,design
B_n1,Relative budget for contribution of source&#44; termination and feedback network to the total weighted output noise,2/5,,design
R_f_max,Maximum value of R_f,377092791054151/50000000000,Omega,design
R_f,Selected value of R_f,7500,Omega,design
g_mP1,Minimum transconductance P channel input stage,443895692332343/10000000000000000000,S,design
c_issP1,c_iss P-channel input stage at minimum transconductance,84985420445911/200000000000000000000000,F,design
g_mP2,Transconductance P channel input stage at minimum g-c product,444656977832881/5000000000000000000,S,design
c_issP2,c_iss P-channel input stage at minimum g-c product,171094766089797/5000000000000000000000000000,F,design
W_iP1,P-channel input stage width at minimum transconductance,63275827183289/50000000000000000,m,design
L_iP1,P-channel input stage length at minimum transconductance,156867709550319/2000000000000000000,m,design
I_iP1,P-channel input stage current at minimum transconductance,-122607068598623/50000000000000000000,A,design
W_iP2,P-channel input stage width at minimum g-c product,4660777824171/400000000000000000,m,design
L_iP2,P-channel input stage length at minimum g-c product,180231198099867/500000000000000000000,m,design
I_iP2,P-channel input stage current at minimum g-c product,-49126936373327/10000000000000000000,A,design
ID1,Input stage operating current,-122817329/12500000000000,A,design
W1,Input stage transistor width,4660777824171/200000000000000000,m,design
L1,Input stage transistor length,180231198099867/250000000000000000000,m,design
ID2,Output stage operating current,2143038610475213/300000000000000000000,A,design
W2,Output stage transistor width,1/100000,m,design
L2,Output stage transistor length,9/50000000,m,design
